C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_272.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_272.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_272.jpg,0,0,0,7.83E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_374.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_374.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_374.jpg,0,0,0,8.03E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_476.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_476.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_476.jpg,0,0,0,7.79E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_579.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_579.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_579.jpg,0,0,0,7.95E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_680.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_680.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_680.jpg,0,0,0,7.84E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_782.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_782.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_782.jpg,0,0,0,7.94E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_884.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_884.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_884.jpg,0,0,0,7.77E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_55_987.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_55_987.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_55_987.jpg,0,0,0,7.94E-05
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_092.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_092.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_092.jpg,0,0.1051617,0,0.01932884
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_194.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_194.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_194.jpg,0,0.4603461,0,0.4722147
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_299.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_299.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_299.jpg,0,0.7744141,0,1.231955
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_399.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_399.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_399.jpg,-0.2858286,1,0,2.32015
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_501.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_501.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_501.jpg,-0.1397775,1,0,3.498902
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_601.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_601.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_601.jpg,0,1,0,4.669581
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_704.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_704.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_704.jpg,0,1,0,5.828729
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_807.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_807.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_807.jpg,0,1,0,6.976764
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_56_906.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_56_906.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_56_906.jpg,0,1,0,8.113656
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_57_006.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_57_006.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_57_006.jpg,-0.2075967,1,0,9.228483
C:\Users\sumed\Desktop\images\IMG\center_2023_12_20_14_27_57_111.jpg, C:\Users\sumed\Desktop\images\IMG\left_2023_12_20_14_27_57_111.jpg, C:\Users\sumed\Desktop\images\IMG\right_2023_12_20_14_27_57_111.jpg,-0.2545833,1,0,10.30778
